coord,mean_abs_shap,R2_from_mf,type
98,0.08440818369423972,0.9992079200579568,distilled
130,0.057692238133646066,0.9999402583147069,distilled
202,0.05612579071888847,0.9998294481525791,distilled
155,0.05374411013753629,0.9996896254640419,distilled
11,0.053323512860147707,0.9999013951239386,distilled
110,0.049477350451531836,0.9994860991785419,distilled
180,0.046680770593423855,0.9998431042629708,distilled
33,0.045712176620077795,0.999902697487117,distilled
194,0.04480681656313047,0.9996866697292073,distilled
210,0.03921395203638276,0.9998034510681701,distilled
117,0.03494422275664575,0.999814340720589,distilled
68,0.03419938777003341,0.9998082846479561,distilled
93,0.033187422593771006,0.9998475132822422,distilled
15,0.03252445507969583,0.999848940166736,distilled
83,0.032404696726794475,0.9988952950669903,distilled
73,0.03206002062752455,0.9998449936164939,distilled
10,0.030878067134272345,0.9998679454210219,distilled
124,0.030816496483761516,0.9999264817347673,distilled
69,0.029199515470564378,0.9999157433316718,distilled
19,0.02887341665610044,0.9998850536596255,distilled
