can,y,task,scaffold
CCCCCCCCCCCC(=O)OCC[N+](CC)(CC)CC.[Br-],0,binary,acyclic
CCCCCCCCCCCCCCCC(=O)OCC[N+](CC)(CC)CC.[Br-],0,binary,acyclic
CCCCCCCCCCCC(=O)OCC[N+](CCCC)(CCCC)CCCC.[Br-],0,binary,acyclic
CCCCCCCCCCCCCCCC(=O)OCC[N+](CCCC)(CCCC)CCCC.[Br-],0,binary,acyclic
CCCCCCCCCCCC(=O)OCCC[n+]1ccccc1.[Cl-],0,binary,c1cc[nH+]cc1
CCCCCCCCCCCCCCCC(=O)OCCC[n+]1ccccc1.[Cl-],0,binary,c1cc[nH+]cc1
CCCCCCCCCCCCNC(=O)C[n+]1ccccc1.[Cl-],0,binary,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCCCNC(=O)C[n+]1ccccc1.[Cl-],0,binary,c1cc[nH+]cc1
CCCCCCCCCC[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],0,binary,O=C1CC2CCC1C2
CCCCCCCCCCCC[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],0,binary,O=C1CC2CCC1C2
CCCCCCCCCCCCCC[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],1,binary,O=C1CC2CCC1C2
CCCCCCCCCCCCCCCC[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],0,binary,O=C1CC2CCC1C2
CCCCCCCCCCOC(=O)C[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],0,binary,O=C1CC2CCC1C2
CCCCCCCCCCCCOC(=O)C[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],0,binary,O=C1CC2CCC1C2
CCCCCCCCCCCCCCOC(=O)C[N+](C)(C)CCNS(=O)(=O)CC12CCC(CC1=O)C2(C)C.[Br-],0,binary,O=C1CC2CCC1C2
CCCCCCCCCC[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],0,binary,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCCC[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],0,binary,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCCCCC[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],0,binary,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCCCCCCC[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],0,binary,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
CCCCCCCCCCOC(=O)C[N+]1(C)CCN(S(=O)(=O)CC23CCC(CC2=O)C3(C)C)CC1.[Br-],0,binary,O=C1CC2CCC1(CS(=O)(=O)N1CC[NH2+]CC1)C2
