can,y,task,scaffold
C(CCCCCC[S+]1CCCC1)CCCCC[S+]1CCCC1.[I-].[I-],7.965784284662087,reg,C(CCCCCC[S+]1CCCC1)CCCCC[S+]1CCCC1
C(CCCCC[S+]1CCCC1)CCCC[S+]1CCCC1.[I-].[I-],7.965784284662087,reg,C(CCCCC[S+]1CCCC1)CCCC[S+]1CCCC1
C(CCCC[S+]1CCCC1)CCC[S+]1CCCC1.[I-].[I-],7.965784284662087,reg,C(CCCC[S+]1CCCC1)CCC[S+]1CCCC1
C=C(C)C(=C)NCc1cc[n+](CCCCCCCCCCCC[n+]2ccc(CNC(=O)C(=C)C)cc2)cc1.[Br-].[Br-],1.8812990117068744,reg,c1cc[n+](CCCCCCCCCCCC[n+]2ccccc2)cc1
C=C(C)C(=O)NCCCCCCCCCCCC[N+](C)(C)C.[Br-],2.031216183354537,reg,acyclic
C=C(C)C(=O)NCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCNC(=O)C(=C)C.[Br-].[Br-],9.797519078385763,reg,acyclic
C=C(C)C(=O)NCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCNC(=O)C(=C)C.[F-].[F-],8.084054416023944,reg,acyclic
C=C(C)C(=O)Nc1ccc([N+](C)(C)CCCCCCCCCCCC[N+](C)(C)c2ccc(NC(=O)C(=C)C)cc2)cc1.[Br-].[Br-],3.762822030854221,reg,c1ccc([NH2+]CCCCCCCCCCCC[NH2+]c2ccccc2)cc1
C=C(C)C(=O)OCCCCCCCCCCCC[n+]1ccccc1.[Br-],4.277841783304963,reg,c1cc[nH+]cc1
C=C(C)C(=O)OCC[N+](C)(C)CCCCCC.[Br-],10.277438288674759,reg,acyclic
C=C(C)C(=O)OCC[N+](C)(C)CCCCCCCCCC.[Br-],5.045891259205875,reg,acyclic
C=C(C)C(=O)OCC[N+](C)(C)CCCCCCCCCCCC.[Br-],3.0415671698573727,reg,acyclic
C=C(C)C(=O)OCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCOC(=O)C(=C)C.[Br-].[Br-],8.914225816227427,reg,acyclic
C=C(C)C(=O)OCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCOC(=O)C(=C)C.[F-].[F-],8.226750461197229,reg,acyclic
C=C(C)C(=O)OCC[N+](C)(C)CCCCCC[N+](C)(C)CCOC(=O)C(=C)C.[Br-].[Br-],2.482185516956032,reg,acyclic
C=C(C)C(=O)OCC[N+](C)(C)CCC[N+](C)(C)CCOC(=O)C(=C)C.[Br-].[Br-],3.5975327727312023,reg,acyclic
C=C(C)C(=O)OCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCOC(=O)C(=C)C)cc1.[Br-].[Br-],12.07760784257485,reg,c1ccccc1
C=C(C)C(=O)OCC[N+](C)(C)Cc1ccccc1-c1ccccc1C[N+](C)(C)CCOC(=O)C(=C)C.[Br-].[Br-],12.899282551025356,reg,c1ccc(-c2ccccc2)cc1
C=C(C)C(=O)OCC[N+](CC)(CC)CCCCCCCCCCCC[N+](CC)(CC)CCOC(=O)C(=C)C.[Br-].[Br-],5.802727379326103,reg,acyclic
C=C(C)C(=O)OCC[N+](CC)(CC)Cc1ccccc1-c1ccccc1C[N+](CC)(CC)CCOC(=O)C(=C)C.[Br-].[Br-],11.780619027852246,reg,c1ccc(-c2ccccc2)cc1
