can,y,task,scaffold
C[N+](C)(C)CCO.[Br-],13.407403003045555,reg,acyclic
CCCCCCCCCCCC(=O)OCC[N+](C)(C)C.[Br-],5.448571592611532,reg,acyclic
CC[N+](CC)(CC)CCO.[Br-],12.110381349504546,reg,acyclic
CCCCCCCCCCCC(=O)OCC[N+](CC)(CC)CC.[Br-],6.291715630934309,reg,acyclic
CCCCCCCCCCCCCCCC(=O)OCC[N+](CC)(CC)CC.[Br-],4.1060227846881405,reg,acyclic
CC(=O)OC[n+]1ccccc1.[Cl-],10.735996428701865,reg,c1cc[nH+]cc1
CCCCCCCCCCCC(=O)OC[n+]1ccccc1.[Cl-],4.930617887358671,reg,c1cc[nH+]cc1
OCC[n+]1ccccc1.[Br-],13.25866947883291,reg,c1cc[nH+]cc1
CCCCCCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],2.3719300797330978,reg,c1cc[nH+]cc1
CCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],12.564083923871427,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],4.17630932678534,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],4.004074147266704,reg,c1cc[nH+]cc1
CCCCCCCC/C=C/CCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],3.093817460482181,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCC(=O)NCC[n+]1ccccc1.[Cl-],4.239508895587361,reg,c1cc[nH+]cc1
OCCC[n+]1ccccc1.[Cl-],13.491588126438655,reg,c1cc[nH+]cc1
CCCCCCCCCCCC(=O)OCCC[n+]1ccccc1.[Cl-],3.4902534936343454,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCC(=O)OCCC[n+]1ccccc1.[Cl-],1.2790806739276872,reg,c1cc[nH+]cc1
O=C(O)C[n+]1ccccc1.[Cl-],16.170025647358937,reg,c1cc[nH+]cc1
CCOC(=O)C[n+]1ccccc1.[Cl-],15.953909415725004,reg,c1cc[nH+]cc1
CCCCCCOC(=O)C[n+]1ccccc1.[Cl-],15.599750288468027,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCOC(=O)C[n+]1ccccc1.[Cl-],14.972903487549917,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCCCOC(=O)C[n+]1ccccc1.[Cl-],14.874643021239185,reg,c1cc[nH+]cc1
CCCCCCCCCCCCNC(=O)C[n+]1ccccc1.[Cl-],3.552414456135845,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCCCNC(=O)C[n+]1ccccc1.[Cl-],-0.765877557863765,reg,c1cc[nH+]cc1
O=C(O)CC[n+]1ccccc1.[Cl-],12.37985261847659,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCOC(=O)CC[n+]1ccccc1.[Cl-],9.244864958589773,reg,c1cc[nH+]cc1
CCOC(=O)C(C)[n+]1ccccc1.[Cl-],15.856891883029679,reg,c1cc[nH+]cc1
CCCCCCCCCCCC(=O)OCC[N+](CCCC)(CCCC)CCCC.[Br-],3.02143239336267,reg,acyclic
CCCCCCCCCCCCCCCC(=O)OCC[N+](CCCC)(CCCC)CCCC.[Br-],2.8658184966336933,reg,acyclic
C[N+](C)(C)CCO.[Br-],13.407403003045555,reg,acyclic
CCCCCCCCCCCC(=O)OCC[N+](C)(C)C.[Br-],5.448571592611532,reg,acyclic
CC[N+](CC)(CC)CCO.[Br-],12.110381349504546,reg,acyclic
CCCCCCCCCCCC(=O)OCC[N+](CC)(CC)CC.[Br-],5.291715630934308,reg,acyclic
CCCCCCCCCCCCCCCC(=O)OCC[N+](CC)(CC)CC.[Br-],2.1060227846881405,reg,acyclic
CC(=O)OC[n+]1ccccc1.[Cl-],14.057924523589229,reg,c1cc[nH+]cc1
CCCCCCCCCCCC(=O)OC[n+]1ccccc1.[Cl-],7.2525459822460325,reg,c1cc[nH+]cc1
OCC[n+]1ccccc1.[Br-],13.25866947883291,reg,c1cc[nH+]cc1
CCCCCCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],4.015786269507823,reg,c1cc[nH+]cc1
CCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],10.564083923871426,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],1.1763093267853395,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],1.004074147266704,reg,c1cc[nH+]cc1
CCCCCCCC/C=C/CCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],4.093817460482181,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCC(=O)NCC[n+]1ccccc1.[Cl-],2.3326182999788423,reg,c1cc[nH+]cc1
OCCC[n+]1ccccc1.[Cl-],13.491588126438655,reg,c1cc[nH+]cc1
CCCCCCCCCCCC(=O)OCCC[n+]1ccccc1.[Cl-],3.4902534936343454,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCC(=O)OCCC[n+]1ccccc1.[Cl-],-0.7209193260723127,reg,c1cc[nH+]cc1
O=C(O)C[n+]1ccccc1.[Cl-],15.170025647358935,reg,c1cc[nH+]cc1
CCOC(=O)C[n+]1ccccc1.[Cl-],15.953909415725004,reg,c1cc[nH+]cc1
CCCCCCOC(=O)C[n+]1ccccc1.[Cl-],15.599750288468027,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCOC(=O)C[n+]1ccccc1.[Cl-],14.972903487549917,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCCCOC(=O)C[n+]1ccccc1.[Cl-],14.874643021239185,reg,c1cc[nH+]cc1
CCCCCCCCCCCCNC(=O)C[n+]1ccccc1.[Cl-],3.552414456135845,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCCCNC(=O)C[n+]1ccccc1.[Cl-],-0.765877557863765,reg,c1cc[nH+]cc1
O=C(O)CC[n+]1ccccc1.[Cl-],12.37985261847659,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCOC(=O)CC[n+]1ccccc1.[Cl-],9.244864958589773,reg,c1cc[nH+]cc1
CCOC(=O)C(C)[n+]1ccccc1.[Cl-],15.856891883029679,reg,c1cc[nH+]cc1
CCCCCCCCCCCC(=O)OCC[N+](CCCC)(CCCC)CCCC.[Br-],2.02143239336267,reg,acyclic
CCCCCCCCCCCCCCCC(=O)OCC[N+](CCCC)(CCCC)CCCC.[Br-],1.8658184966336935,reg,acyclic
C[N+](C)(C)CCO.[Br-],13.407403003045555,reg,acyclic
CCCCCCCCCCCC(=O)OCC[N+](C)(C)C.[Br-],5.448571592611532,reg,acyclic
CC[N+](CC)(CC)CCO.[Br-],12.110381349504546,reg,acyclic
CCCCCCCCCCCC(=O)OCC[N+](CC)(CC)CC.[Br-],5.291715630934308,reg,acyclic
CCCCCCCCCCCCCCCC(=O)OCC[N+](CC)(CC)CC.[Br-],7.1060227846881405,reg,acyclic
CC(=O)OC[n+]1ccccc1.[Cl-],14.057924523589229,reg,c1cc[nH+]cc1
CCCCCCCCCCCC(=O)OC[n+]1ccccc1.[Cl-],8.252545982246033,reg,c1cc[nH+]cc1
OCC[n+]1ccccc1.[Br-],13.25866947883291,reg,c1cc[nH+]cc1
CCCCCCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],6.015786269507823,reg,c1cc[nH+]cc1
CCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],11.564083923871427,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],6.17630932678534,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],9.96985843192879,reg,c1cc[nH+]cc1
CCCCCCCC/C=C/CCCCCCCC(=O)OCC[n+]1ccccc1.[Br-],7.048013770869056,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCC(=O)NCC[n+]1ccccc1.[Cl-],7.239508895587361,reg,c1cc[nH+]cc1
OCCC[n+]1ccccc1.[Cl-],13.491588126438655,reg,c1cc[nH+]cc1
CCCCCCCCCCCC(=O)OCCC[n+]1ccccc1.[Cl-],8.456037778296432,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCC(=O)OCCC[n+]1ccccc1.[Cl-],9.244864958589774,reg,c1cc[nH+]cc1
O=C(O)C[n+]1ccccc1.[Cl-],16.170025647358937,reg,c1cc[nH+]cc1
CCOC(=O)C[n+]1ccccc1.[Cl-],15.953909415725004,reg,c1cc[nH+]cc1
CCCCCCOC(=O)C[n+]1ccccc1.[Cl-],15.599750288468027,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCOC(=O)C[n+]1ccccc1.[Cl-],13.972903487549916,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCCCOC(=O)C[n+]1ccccc1.[Cl-],14.874643021239185,reg,c1cc[nH+]cc1
CCCCCCCCCCCCNC(=O)C[n+]1ccccc1.[Cl-],8.518198740797931,reg,c1cc[nH+]cc1
CCCCCCCCCCCCCCCCCCNC(=O)C[n+]1ccccc1.[Cl-],11.199906726798321,reg,c1cc[nH+]cc1
