source,seed,target,raw_R2,recal_R2,pearson,spearman,slope,intercept,pred_mean,true_mean,pred_sd,true_sd
quant-molecule,0,QAC-105,-0.32932066660396875,0.021594924852054054,0.14695211864452157,0.1160266961286371,0.2051899605517924,1.1398221443504357,1.8304047584533691,1.5154028095055287,1.3754929304122925,1.9206074380285594
quant-molecule,0,Q-HERO,-0.6081035736507072,0.24728866745772804,0.4972812723613495,0.4657834268589202,0.43308059084067696,0.2604710927714015,2.452911853790283,1.3227795839951504,1.9751520156860352,1.7201532631960321
quant-molecule,0,OOD-17,-1.5801602546625242,0.33574747840960695,0.5794371965995738,0.625,0.8161714527941785,-1.6433180097506526,3.3843281269073486,1.1188739714265263,1.1671643257141113,1.6440198154306556
quant-molecule,1,QAC-105,-0.4612978578557838,0.05846800692140719,0.2418015787474577,0.22035897120262532,0.28370868494596774,0.87650366106202,2.2519547939300537,1.5154028095055287,1.6369110345840454,1.9206074380285594
quant-molecule,1,Q-HERO,-1.3641465879843766,0.37192838401934636,0.6098593131447118,0.6001244980489456,0.4731663663388233,-0.22215610979582967,3.2651004791259766,1.3227795839951504,2.217087984085083,1.7201532631960321
quant-molecule,1,OOD-17,-2.860486614040944,0.3601724235272976,0.6001436747314153,0.6372549019607844,0.7033827060909472,-1.7226367163662262,4.039779186248779,1.1188739714265263,1.4027186632156372,1.6440198154306556
quant-molecule,2,QAC-105,-1.5796167911563654,0.0878027697257725,0.2963153347132552,0.29313289726034486,0.2947402912587472,0.4578318893839447,3.5881450176239014,1.5154028095055287,1.9308708906173706,1.9206074380285594
quant-molecule,2,Q-HERO,-2.313341573870458,0.33518285297945816,0.5789497855679068,0.574255898852063,0.4630519802040075,-0.4705826738827644,3.872917890548706,1.3227795839951504,2.1506924629211426,1.7201532631960321
quant-molecule,2,OOD-17,-6.3014641840268215,0.4216987384597993,0.6493833696091247,0.5955882352941178,0.9884878949714766,-4.200817097095341,5.381645202636719,1.1188739714265263,1.0800325870513916,1.6440198154306556
quant-record,0,QAC-105,-0.6731800500420111,0.039714582078437144,0.19928519531347927,0.18352880205666783,0.25184902635353035,0.8425516019434139,2.671645164489746,1.5154028095055287,1.5197542905807495,1.9206074380285594
quant-record,0,Q-HERO,-1.491488639293487,0.3470749526110951,0.5891306786313221,0.5813534996694592,0.45209358749958856,-0.17168482150487685,3.3056528568267822,1.3227795839951504,2.241560459136963,1.7201532631960321
quant-record,0,OOD-17,-2.5481663019207814,0.4102747618318986,0.6405269473155949,0.6176470588235294,0.8872747956658873,-2.380041934111724,3.943441152572632,1.1188739714265263,1.1868239641189575,1.6440198154306556
quant-record,1,QAC-105,-0.4381614984794977,0.0399882748417123,0.19997068100854132,0.19775286738200318,0.26238909444909664,0.9148533117076958,2.2887747287750244,1.5154028095055287,1.46372389793396,1.9206074380285594
quant-record,1,Q-HERO,-1.2124184115272105,0.3887577660193938,0.6235044252067188,0.6405133583619843,0.5086999476051268,-0.3239570647841887,3.237147331237793,1.3227795839951504,2.108361005783081,1.7201532631960321
quant-record,1,OOD-17,-2.317203737123764,0.4944250588704272,0.7031536523885871,0.752450980392157,0.8114509314976457,-2.0153019188788157,3.8624343872070312,1.1188739714265263,1.4246069192886353,1.6440198154306556
quant-record,2,QAC-105,-1.3639595873466974,0.024199869150937303,0.15556309520937367,0.14803084311064155,0.1626208877065159,0.9991120876971784,3.174811840057373,1.5154028095055287,1.8372526168823242,1.9206074380285594
quant-record,2,Q-HERO,-2.1453135850584095,0.3576193443737318,0.5980128308013749,0.6138381756602355,0.46057385378284754,-0.4103417537152676,3.762960910797119,1.3227795839951504,2.2334609031677246,1.7201532631960321
quant-record,2,OOD-17,-3.89477464804074,0.5678328843942729,0.7535468758287912,0.8848039215686275,1.250359401024281,-4.61149444077932,4.582977294921875,1.1188739714265263,0.990791916847229,1.6440198154306556
