subset,split,representation,n,R2_mean,R2_sd,RMSE_mean,RMSE_sd
all Q-HERO,random 5-fold,expert (Good/Bad),411,0.45377373681005756,0.018206766595440918,1.2711354832315247,0.02140928486753053
all Q-HERO,random 5-fold,multi-regression,411,0.4010570915343993,0.012001176140009664,1.3311841260909212,0.01331596140825503
all Q-HERO,random 5-fold,MolFormer (raw),411,0.4588668946217524,0.012435135499487838,1.265291178836211,0.01455072287422491
all Q-HERO,scaffold 5-fold,expert (Good/Bad),411,-0.003609347153659548,0.009952662485291097,1.7232335634577143,0.008551625601567749
all Q-HERO,scaffold 5-fold,multi-regression,411,-0.07585158117479529,0.018472947305014895,1.784133131016332,0.015346990025802419
all Q-HERO,scaffold 5-fold,MolFormer (raw),411,0.03381582957643905,0.025279555092405516,1.6906748104200304,0.0220761119269534
unseen by expert encoder,random 5-fold,expert (Good/Bad),189,0.3088899291511445,0.026498100715482514,1.3816817344938848,0.02650769103242754
unseen by expert encoder,random 5-fold,multi-regression,189,0.34413033613323823,0.031048407037773656,1.3458608421780152,0.03202681202115664
unseen by expert encoder,random 5-fold,MolFormer (raw),189,0.320765981988233,0.03509734976096027,1.3695519211848488,0.035460775050159876
unseen by expert encoder,scaffold 5-fold,expert (Good/Bad),189,-0.019073428367740043,0.02155732791612445,1.678002847031549,0.01777371453646935
unseen by expert encoder,scaffold 5-fold,multi-regression,189,-0.04466280061270358,0.015306388230732033,1.698989999558476,0.012395567718128187
unseen by expert encoder,scaffold 5-fold,MolFormer (raw),189,0.023258901471965167,0.028160511123907345,1.6427058543940878,0.023448845011752827
