subset,representation,can,abs_residual
all Q-HERO,expert (Good/Bad),CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],1.4744648851011188
all Q-HERO,expert (Good/Bad),CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],2.045131076122873
all Q-HERO,expert (Good/Bad),CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-],1.785385973229466
all Q-HERO,expert (Good/Bad),CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Cl-],2.4006302565359254
all Q-HERO,expert (Good/Bad),N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,3.5212885684486857
all Q-HERO,expert (Good/Bad),CCCCCCCCCCCCCCOc1cccc(C[N+](C)(C)C)c1C[N+](C)(C)C.[Br-].[Br-],0.15185905633401475
all Q-HERO,expert (Good/Bad),CCCCCCCCCCCCCCOc1ccc(C[N+](C)(C)C)cc1C[N+](C)(C)C.[Br-].[Br-],0.02886252458646954
all Q-HERO,expert (Good/Bad),CCCCCCCCCCCCCCOc1cc(C[N+](C)(C)C)ccc1C[N+](C)(C)C.[Br-].[Br-],1.1038413324906369
all Q-HERO,expert (Good/Bad),CCCCCCCCCCCCCCCCOc1cc(C[N+](C)(C)C)ccc1C[N+](C)(C)C.[Br-].[Br-],0.7124742305015719
all Q-HERO,expert (Good/Bad),CCCCCCCCCCCCCCCCCCOc1cc(C[N+](C)(C)C)ccc1C[N+](C)(C)C.[Br-].[Br-],1.1260359398501025
all Q-HERO,expert (Good/Bad),CCCCCCCCCCCCCCOc1c(C[N+](C)(C)C)cccc1C[N+](C)(C)C.[Br-].[Br-],1.048314138557151
all Q-HERO,expert (Good/Bad),CCCCCCCCCCCCCCOc1cc(C[N+](C)(C)C)cc(C[N+](C)(C)C)c1.[Br-].[Br-],0.8234963535196305
all Q-HERO,expert (Good/Bad),CCCCCCCCCCCCCCCCOc1cc(C[N+](C)(C)C)cc(C[N+](C)(C)C)c1.[Br-].[Br-],1.0788234065733855
all Q-HERO,expert (Good/Bad),CCCCCCCCCCOc1ccc(C[N+](C)(C)C)cc1.[Br-],0.763744784304794
all Q-HERO,expert (Good/Bad),CCCCCCCCCC[n+]1ccc(-c2cc[n+](CCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.6392505783901535
all Q-HERO,expert (Good/Bad),CCCCCCCCCCC[n+]1ccc(-c2cc[n+](CCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.7873648003350062
all Q-HERO,expert (Good/Bad),CCCCCCCCCCCC[n+]1ccc(-c2cc[n+](CCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.8503416901357812
