split,representation,endpoint,R2_mean,R2_sd
pairs,human (Good/Bad),S. aureus MIC,0.5816584148595874,0.23677702994031002
pairs,human (Good/Bad),S. aureus MBC,0.508373235763112,0.24028612749213407
pairs,human (Good/Bad),E. coli MIC,0.7695115427122466,0.08111862622430616
pairs,human (Good/Bad),E. coli MBC,0.6271788776874739,0.10775215613299054
pairs,multi-regression,S. aureus MIC,0.5864251739560136,0.27027679913005803
pairs,multi-regression,S. aureus MBC,0.5137567919609788,0.2644902986275499
pairs,multi-regression,E. coli MIC,0.8018568350410231,0.06213611225692681
pairs,multi-regression,E. coli MBC,0.6155680097843127,0.11843645366014664
pairs,MolFormer (raw),S. aureus MIC,0.5280197545634729,0.2763794521994967
pairs,MolFormer (raw),S. aureus MBC,0.5148785650831906,0.261911851941962
pairs,MolFormer (raw),E. coli MIC,0.7782209965198457,0.06491146140314187
pairs,MolFormer (raw),E. coli MBC,0.626390977775993,0.12162327637202404
mol,human (Good/Bad),S. aureus MIC,0.26928045999827316,0.16245417334839038
mol,human (Good/Bad),S. aureus MBC,0.055988453407369985,0.26963878004793956
mol,human (Good/Bad),E. coli MIC,0.09112704511475964,0.19213178237257694
mol,human (Good/Bad),E. coli MBC,0.061691552530219816,0.26680475452392605
mol,multi-regression,S. aureus MIC,0.3062116069869235,0.1273814049248352
mol,multi-regression,S. aureus MBC,0.08492081257277131,0.21943642632906218
mol,multi-regression,E. coli MIC,0.16035739908891194,0.21632965581583258
mol,multi-regression,E. coli MBC,0.07678377436893384,0.2574640181540709
mol,MolFormer (raw),S. aureus MIC,0.18514789220575673,0.18615356612961229
mol,MolFormer (raw),S. aureus MBC,0.003969514515445927,0.30093786415171525
mol,MolFormer (raw),E. coli MIC,0.12326235643646007,0.192827310452214
mol,MolFormer (raw),E. coli MBC,0.07774871010271626,0.2184397737635944
